Gender,Customer Type,Age,Type of Travel,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Class_Business,Class_Eco,Class_Eco Plus
1,1,57,1,2496,0,0,0,1,3,4,5,5,5,5,5,4,5,5,0,5.0,1,True,False,False
0,1,40,1,602,5,5,5,5,2,5,5,5,5,5,5,3,5,4,0,0.0,1,True,False,False
1,0,38,1,308,3,3,3,3,4,3,4,4,1,1,4,2,3,4,39,26.0,0,True,False,False
0,0,23,1,446,2,4,2,1,4,2,4,4,4,2,4,5,5,4,4,0.0,0,False,True,False
0,0,39,1,216,2,2,2,3,3,2,3,3,2,1,4,2,4,3,0,0.0,0,True,False,False
1,1,52,1,3475,2,2,2,2,4,4,4,4,4,4,4,4,4,3,0,0.0,1,True,False,False
0,0,25,1,646,2,1,2,2,4,2,3,4,4,4,3,2,2,4,13,1.0,0,False,True,False
1,1,48,1,2501,3,3,3,3,5,4,4,5,5,5,5,4,5,4,0,0.0,1,True,False,False
1,1,59,1,2227,5,5,5,5,2,4,4,4,4,4,4,3,4,4,30,15.0,1,True,False,False
0,1,25,1,1426,3,3,3,3,4,5,4,4,5,4,4,4,4,4,4,0.0,1,True,False,False
0,1,38,0,190,2,4,2,3,4,2,4,4,3,2,4,4,5,4,0,0.0,0,False,True,False
0,1,46,1,1532,2,2,2,2,2,4,5,5,5,5,5,5,5,4,0,0.0,1,True,False,False
0,1,50,1,308,2,1,1,1,2,2,2,2,3,2,2,2,3,2,18,12.0,0,False,True,False
1,1,38,1,157,4,4,4,4,4,4,4,4,3,3,1,1,4,4,0,0.0,1,False,False,True
1,1,53,1,1506,4,4,4,4,3,4,5,5,5,5,5,4,5,5,0,0.0,1,True,False,False
0,1,30,1,205,3,2,2,2,3,3,3,3,2,5,1,1,2,3,64,49.0,0,False,False,True
0,0,39,1,895,2,2,2,4,5,2,5,5,5,4,4,5,5,5,0,2.0,0,True,False,False
0,1,66,0,516,1,4,1,2,2,1,2,2,4,4,5,5,5,2,0,37.0,0,False,False,True
0,1,45,0,909,3,5,3,2,1,3,1,1,4,4,5,3,4,1,0,0.0,0,False,True,False
1,0,25,1,1435,5,1,5,4,1,5,1,1,4,2,5,4,5,1,1,1.0,1,True,False,False
0,1,52,1,1190,2,4,4,4,1,4,3,2,2,2,2,1,2,4,0,6.0,0,True,False,False
0,1,64,0,1259,4,5,4,2,2,4,2,2,4,5,3,4,4,2,20,5.0,1,False,True,False
1,0,50,1,216,4,0,4,4,4,4,4,4,5,2,1,4,4,4,0,0.0,0,False,True,False
1,0,41,1,1670,2,1,1,2,3,2,4,3,3,5,3,4,5,3,0,0.0,0,True,False,False
0,1,26,1,3960,1,1,1,1,4,4,4,4,4,2,5,4,4,4,45,48.0,1,True,False,False
1,0,25,1,817,4,4,4,3,3,4,3,3,2,3,2,3,3,3,0,0.0,0,False,True,False
1,0,44,1,1670,3,3,3,4,5,3,5,5,3,2,4,2,4,5,0,8.0,0,True,False,False
1,0,21,1,861,4,0,4,4,1,4,1,1,3,4,4,4,5,1,0,0.0,1,True,False,False
0,1,47,1,406,2,2,2,2,3,5,5,4,4,4,4,5,4,4,44,50.0,1,True,False,False
0,1,31,1,404,4,4,4,4,4,4,4,4,1,2,2,4,2,4,17,3.0,1,False,False,True
1,1,57,0,500,3,5,3,2,3,4,5,5,5,3,5,4,5,5,0,0.0,0,False,False,True
0,1,44,0,689,3,5,3,4,5,3,2,5,4,4,5,3,5,5,0,0.0,0,False,True,False
0,1,45,1,3100,3,3,3,3,1,1,3,4,4,4,4,3,4,1,0,0.0,1,True,False,False
0,0,13,1,525,2,2,2,3,3,2,3,3,3,1,3,1,4,3,0,0.0,0,False,True,False
0,1,60,0,931,0,5,0,3,4,0,3,4,4,5,5,4,5,4,0,0.0,1,False,True,False
1,0,41,1,304,5,5,5,3,2,5,2,2,3,4,4,4,4,2,31,19.0,1,True,False,False
0,1,30,1,1896,4,1,1,1,4,4,4,4,2,2,3,4,2,4,81,72.0,0,True,False,False
1,1,51,1,261,5,4,4,4,4,3,1,5,5,5,5,1,5,1,0,0.0,1,False,False,True
1,1,61,1,347,2,5,5,5,5,2,4,3,3,2,3,3,3,4,0,11.0,1,False,True,False
1,1,32,1,1042,4,1,1,1,4,4,4,4,4,3,1,5,2,4,35,34.0,1,False,True,False
1,1,39,0,1773,4,5,4,5,5,4,5,5,2,2,3,3,1,5,14,18.0,0,False,True,False
0,1,19,0,342,3,1,3,2,3,3,3,3,2,1,3,1,3,3,0,0.0,0,True,False,False
1,1,15,0,297,1,5,1,3,5,1,5,5,5,1,1,3,4,5,67,62.0,0,False,False,True
1,0,42,1,883,3,3,3,3,3,3,4,3,5,2,4,3,4,3,22,27.0,1,True,False,False
1,1,16,0,332,2,5,2,1,3,2,4,3,5,4,5,4,4,3,40,52.0,0,False,True,False
0,1,19,1,2388,5,5,5,5,4,5,4,4,5,5,1,5,4,4,0,0.0,1,True,False,False
1,1,29,0,748,2,5,2,2,5,2,1,5,4,2,4,3,5,5,0,0.0,0,False,True,False
1,0,27,1,1080,3,3,3,3,3,3,3,3,4,1,3,3,3,3,0,0.0,0,False,False,True
0,0,22,1,231,5,0,5,4,5,5,5,5,3,4,4,3,1,5,0,0.0,1,True,False,False
1,1,15,0,551,3,4,3,3,4,3,4,4,1,1,4,2,1,4,3,0.0,0,False,True,False
0,0,11,1,972,1,1,1,3,1,1,1,1,4,3,4,2,1,1,0,0.0,0,False,True,False
1,1,34,0,265,4,3,4,3,5,4,5,5,2,5,2,1,4,5,0,23.0,0,False,True,False
1,0,26,1,488,2,0,2,4,1,2,1,1,3,2,5,1,3,1,0,0.0,0,False,True,False
1,1,26,0,1144,3,5,2,2,4,2,4,4,5,4,5,3,5,4,0,0.0,0,False,True,False
0,1,53,1,2332,5,5,5,5,5,5,5,4,4,5,4,4,4,3,0,3.0,1,True,False,False
0,1,36,1,3024,4,2,2,2,1,3,4,4,4,4,4,4,4,1,30,13.0,0,True,False,False
0,1,32,1,1750,1,5,4,5,1,1,1,1,1,1,2,4,3,1,0,0.0,0,True,False,False
0,1,20,0,483,2,3,2,3,5,2,5,5,5,2,3,2,4,5,91,82.0,0,False,True,False
1,1,35,1,2128,2,2,2,2,1,5,1,4,4,4,4,5,4,4,0,0.0,1,True,False,False
0,1,15,0,235,2,4,2,1,1,2,1,1,3,3,4,4,4,1,1,10.0,0,False,True,False
0,1,52,0,689,2,5,2,3,3,2,3,3,1,1,2,2,2,3,0,0.0,0,False,True,False
0,1,45,1,1852,1,1,1,1,5,5,4,2,2,2,2,5,2,5,0,0.0,1,True,False,False
1,0,24,1,372,4,4,4,3,3,4,5,3,5,4,4,4,4,3,21,23.0,0,False,True,False
1,1,46,1,3705,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,0.0,0,True,False,False
0,0,26,1,416,3,0,3,3,1,3,1,1,3,5,2,3,3,1,0,9.0,0,False,True,False
0,1,28,1,337,4,1,1,1,4,4,4,4,1,3,2,3,2,4,3,0.0,0,False,True,False
0,1,11,0,335,1,5,1,3,3,1,3,3,4,2,4,5,5,3,0,0.0,0,False,True,False
0,1,45,1,1400,5,5,5,5,2,5,5,4,4,4,4,3,4,5,4,9.0,1,True,False,False
0,1,62,0,2521,4,5,4,3,4,1,1,5,3,5,4,1,4,1,7,30.0,0,False,True,False
1,1,34,1,374,3,3,3,3,4,4,1,4,4,4,4,5,4,3,0,0.0,1,True,False,False
0,1,51,1,308,2,2,2,2,4,5,5,4,4,4,4,3,4,5,17,8.0,1,True,False,False
1,1,58,1,575,1,4,4,4,2,3,4,2,2,1,2,2,2,4,14,16.0,0,False,False,True
0,1,22,0,618,3,5,3,2,3,3,3,3,4,5,4,5,5,3,0,0.0,0,False,True,False
0,1,8,1,1304,4,4,4,4,4,4,4,4,2,2,4,2,1,4,0,0.0,1,False,True,False
0,0,26,1,351,4,4,4,3,2,4,2,2,4,5,4,4,5,2,4,11.0,1,True,False,False
1,1,22,0,549,4,0,4,3,3,4,1,3,3,2,5,4,5,3,15,3.0,0,False,True,False
1,1,21,1,3510,3,1,1,1,3,2,3,3,3,3,3,1,3,3,0,0.0,0,True,False,False
0,1,31,1,1620,3,2,4,2,3,3,3,3,2,2,2,3,4,3,0,0.0,0,True,False,False
1,1,44,0,326,2,0,2,2,2,3,5,1,1,2,1,2,1,5,0,0.0,0,False,True,False
0,1,27,1,588,2,2,2,2,5,5,5,5,5,2,5,3,5,5,0,0.0,1,True,False,False
1,1,47,1,1020,3,1,3,3,2,4,5,5,5,5,5,3,5,5,0,0.0,1,True,False,False
0,1,24,1,2903,3,3,3,3,3,3,3,3,4,2,2,2,2,3,0,0.0,0,True,False,False
0,1,67,1,2659,1,1,1,1,1,3,3,1,1,1,1,1,1,1,0,0.0,0,True,False,False
0,1,32,1,3037,2,2,2,2,4,4,4,4,4,1,1,3,5,4,0,0.0,1,True,False,False
1,1,58,0,2475,4,4,4,3,4,1,1,3,3,3,4,1,3,1,29,10.0,1,False,True,False
0,1,12,0,978,4,5,4,5,1,4,1,1,3,4,4,5,4,1,0,0.0,0,False,True,False
1,1,56,1,2568,3,1,1,1,5,3,2,3,3,3,3,3,3,4,0,0.0,0,True,False,False
1,1,58,0,371,3,5,5,1,2,3,5,1,1,5,1,3,1,3,0,0.0,0,True,False,False
0,0,24,1,791,3,3,3,3,5,3,5,5,2,1,3,1,3,5,39,6.0,0,False,True,False
0,1,68,0,480,3,4,3,3,5,3,5,5,2,4,3,4,4,5,7,6.0,0,False,True,False
0,1,46,1,1786,1,1,1,1,3,5,5,5,5,5,5,5,5,3,1,7.0,1,True,False,False
0,1,43,1,1849,2,2,2,2,2,4,4,3,3,4,3,3,3,4,0,7.0,1,True,False,False
1,1,55,1,3634,0,4,0,4,4,5,5,4,4,1,1,4,4,3,0,0.0,1,True,False,False
1,1,54,0,844,4,5,5,2,2,4,4,3,3,5,3,3,3,4,0,0.0,0,True,False,False
1,1,42,1,3094,5,5,5,5,4,4,5,2,2,2,2,5,2,3,0,10.0,1,True,False,False
1,1,47,1,3465,1,3,3,3,3,3,4,1,1,1,1,1,1,4,13,15.0,0,True,False,False
1,0,29,1,1035,1,1,1,1,5,1,5,5,4,4,4,4,4,5,0,0.0,0,True,False,False
1,1,36,1,237,2,4,4,4,2,2,2,2,2,4,2,1,1,2,0,0.0,0,False,True,False
1,1,50,1,3175,4,4,4,4,2,4,5,5,5,5,5,4,5,3,0,0.0,1,True,False,False
1,1,31,0,760,4,2,4,4,1,4,1,1,3,4,4,4,4,1,17,27.0,0,False,True,False
0,1,13,0,853,1,4,1,4,4,1,4,4,5,2,5,4,4,4,105,122.0,0,False,True,False
0,0,24,1,446,3,4,4,4,5,4,5,5,4,4,4,2,4,5,0,0.0,0,False,True,False
1,1,60,1,1071,2,2,2,2,4,5,1,3,3,4,3,5,3,1,0,0.0,1,True,False,False
1,1,42,0,728,2,3,2,3,5,3,4,3,3,2,3,3,3,2,0,3.0,0,False,True,False
1,1,57,1,2585,2,2,2,2,4,4,4,4,3,5,4,4,3,4,0,0.0,1,True,False,False
1,1,42,1,707,2,2,4,2,2,5,4,3,3,4,3,4,3,3,27,11.0,1,True,False,False
0,0,20,1,861,0,0,0,5,2,0,2,2,4,3,5,3,5,2,0,0.0,1,False,True,False
1,1,51,0,719,3,5,2,4,3,5,4,4,4,2,4,4,4,3,19,0.0,0,False,True,False
0,1,45,1,1790,2,5,2,2,2,4,5,5,5,5,5,3,5,4,0,0.0,1,True,False,False
1,1,26,1,680,5,5,5,5,5,5,5,5,1,4,5,1,3,5,12,27.0,1,False,False,True
0,0,26,1,888,2,2,2,3,5,2,5,5,4,3,3,2,4,5,51,30.0,0,False,True,False
1,1,24,0,1660,2,1,2,3,3,2,5,3,1,4,2,2,2,3,0,2.0,0,False,True,False
0,1,49,1,578,5,1,1,1,5,5,5,1,1,1,4,5,4,5,162,179.0,1,False,True,False
1,1,17,1,606,5,1,4,1,5,5,4,5,5,1,2,5,3,5,15,15.0,1,False,True,False
1,1,39,1,1487,3,3,3,3,4,4,5,4,4,4,4,4,4,3,7,0.0,1,True,False,False
1,1,49,1,317,0,1,1,1,3,4,5,4,4,4,4,4,4,5,0,0.0,1,True,False,False
1,1,48,0,844,3,4,4,3,4,4,4,4,4,4,4,3,4,3,0,1.0,0,False,True,False
0,1,52,1,3747,5,5,5,5,2,4,5,4,4,4,4,5,4,5,24,20.0,1,True,False,False
1,1,25,1,2748,4,4,4,4,3,3,3,3,3,2,4,5,4,3,0,0.0,1,True,False,False
1,1,16,1,1503,3,5,5,5,3,3,3,3,2,4,3,2,3,3,0,0.0,0,True,False,False
0,1,58,1,1717,1,1,1,1,2,4,5,4,4,4,4,5,4,4,0,0.0,1,True,False,False
0,0,8,1,1117,4,3,4,3,3,4,3,3,4,5,4,4,3,3,0,7.0,0,True,False,False
0,1,42,1,1372,3,3,5,3,4,4,4,5,4,5,4,4,3,4,141,125.0,1,True,False,False
1,1,52,1,2768,4,1,1,1,2,4,4,4,4,3,4,2,4,4,0,0.0,0,True,False,False
1,1,47,1,370,5,3,3,3,2,1,1,5,5,5,5,3,5,4,0,0.0,1,False,True,False
1,1,69,0,1546,1,5,1,2,4,3,4,1,1,1,1,4,1,3,1,26.0,0,False,True,False
1,1,47,0,1023,2,3,3,3,5,3,3,4,4,3,1,3,4,4,0,0.0,0,False,True,False
1,1,41,1,3636,1,1,1,1,3,5,4,4,4,4,4,5,4,2,0,0.0,1,True,False,False
1,1,40,0,1325,4,4,4,3,1,4,1,1,4,2,4,5,5,1,0,9.0,0,False,True,False
1,1,56,0,2556,1,4,1,3,3,3,1,5,5,1,5,1,5,2,0,0.0,0,False,True,False
0,1,41,1,1052,2,2,2,2,4,4,4,4,4,4,4,3,4,4,6,0.0,1,True,False,False
1,1,40,1,773,3,4,4,4,3,3,3,3,2,5,4,4,4,3,15,26.0,0,False,True,False
0,1,12,0,817,2,3,2,2,1,2,1,1,1,3,5,3,2,1,0,0.0,0,True,False,False
0,1,59,0,516,4,5,3,4,1,3,1,1,5,3,4,5,4,1,3,0.0,1,False,True,False
1,1,21,0,447,1,5,1,1,2,1,2,2,3,5,5,3,4,2,34,19.0,0,False,True,False
0,1,12,0,462,2,4,2,3,2,2,2,2,3,4,2,2,1,2,0,0.0,0,False,True,False
0,1,31,1,361,1,5,5,5,1,1,1,1,2,5,3,4,4,1,0,0.0,0,False,True,False
1,1,37,0,125,3,2,3,3,2,3,2,2,3,3,3,4,3,2,6,4.0,0,False,True,False
1,1,38,0,271,4,0,5,3,2,5,2,2,4,2,4,3,5,2,0,0.0,1,False,True,False
0,1,45,0,173,2,5,0,1,2,0,5,2,5,5,4,4,4,2,0,0.0,0,False,True,False
0,1,43,1,1950,3,3,3,3,4,5,4,4,4,4,4,3,4,5,0,0.0,1,True,False,False
1,1,52,0,719,1,5,2,2,3,5,5,3,3,2,3,3,3,3,0,17.0,0,False,True,False
1,1,57,1,153,3,4,4,4,5,3,4,2,2,2,3,4,2,2,0,0.0,0,True,False,False
1,1,13,0,337,2,3,2,3,1,2,1,1,4,5,2,5,5,1,0,18.0,0,True,False,False
1,1,45,1,3732,5,5,5,5,5,5,5,5,5,5,5,3,5,4,17,0.0,1,True,False,False
1,1,43,1,3854,5,5,5,5,5,4,4,5,5,5,5,5,5,3,0,0.0,1,True,False,False
0,1,53,1,977,2,4,2,4,2,2,2,2,3,2,3,2,3,2,20,17.0,0,False,True,False
0,1,23,1,3073,4,4,1,4,5,5,5,5,1,3,1,3,3,5,0,3.0,1,True,False,False
1,1,16,0,1379,2,5,2,2,2,2,2,2,5,2,4,3,5,2,2,0.0,0,False,True,False
0,1,23,1,631,2,2,2,2,2,1,1,2,3,5,4,3,4,2,0,8.0,0,False,True,False
0,1,45,0,666,2,5,2,4,4,2,4,4,4,5,5,4,5,4,0,0.0,0,False,True,False
1,1,46,1,2820,2,2,2,2,2,1,2,5,5,5,5,2,5,3,1,0.0,1,True,False,False
1,1,49,0,577,2,5,2,2,3,4,5,1,1,2,1,4,1,3,23,2.0,0,False,True,False
1,1,40,1,2808,4,3,3,3,3,3,4,3,3,3,4,4,3,3,7,2.0,0,True,False,False
1,1,19,1,2172,5,5,5,5,4,4,4,4,4,4,4,4,4,4,0,0.0,1,True,False,False
1,1,48,0,1192,4,2,4,3,4,3,3,1,1,4,2,3,1,1,0,0.0,0,False,True,False
1,1,64,1,1773,2,4,3,4,5,3,3,2,2,3,2,4,2,4,0,0.0,0,True,False,False
1,1,38,1,109,5,3,3,3,5,5,5,5,5,2,4,1,1,5,31,0.0,1,False,True,False
0,1,23,0,1749,2,1,1,4,3,1,3,3,1,1,4,2,3,3,97,89.0,0,False,True,False
1,1,38,1,3753,2,2,2,2,1,1,5,4,4,4,4,4,4,1,0,0.0,1,True,False,False
0,1,41,0,214,1,4,1,2,2,1,1,2,4,3,5,4,5,2,16,34.0,0,False,True,False
0,1,29,0,1020,1,4,1,4,1,1,1,1,3,3,3,4,3,1,0,0.0,0,False,True,False
0,1,47,1,368,5,1,2,1,4,5,4,4,5,5,2,4,3,4,0,0.0,1,False,False,True
0,1,50,0,1448,2,3,2,5,4,2,4,4,4,3,4,3,1,4,20,4.0,0,False,False,True
1,1,18,0,1127,2,5,2,3,3,2,3,3,4,4,4,3,5,3,0,0.0,0,False,True,False
1,1,20,0,545,2,0,2,3,5,2,1,5,3,4,3,3,1,5,4,0.0,0,False,True,False
1,1,41,1,3238,2,2,2,2,5,4,5,4,4,4,4,3,4,4,0,0.0,1,True,False,False
1,1,12,0,2466,2,4,2,3,1,2,1,1,4,4,5,4,4,1,0,0.0,0,False,True,False
1,1,36,0,2715,2,3,2,3,2,3,2,4,5,3,3,2,3,2,0,0.0,0,False,True,False
0,1,49,1,337,3,4,3,3,4,5,5,4,4,4,4,5,4,3,10,0.0,1,True,False,False
1,1,55,0,1608,2,2,2,4,2,3,4,5,5,2,5,3,5,2,0,0.0,0,False,True,False
1,1,43,1,3004,3,3,3,3,2,4,3,2,2,2,3,1,2,2,0,0.0,0,True,False,False
1,0,49,1,980,2,2,2,2,3,2,3,3,3,5,5,4,4,3,11,6.0,0,True,False,False
1,0,35,1,1462,1,1,1,1,3,1,3,3,1,5,1,3,2,3,0,0.0,0,False,True,False
0,1,45,1,1521,1,1,3,1,3,5,4,5,5,5,5,4,5,4,0,0.0,1,True,False,False
1,1,28,1,862,5,5,5,5,5,5,5,5,2,3,1,1,2,5,9,5.0,1,True,False,False
0,1,60,1,1833,4,4,4,4,1,4,5,4,4,4,4,1,4,2,0,0.0,1,True,False,False
0,1,35,1,2398,2,4,2,4,1,3,2,2,2,2,2,4,2,3,0,9.0,0,True,False,False
1,0,38,1,349,3,3,3,5,4,3,4,4,5,4,4,5,5,4,29,28.0,0,True,False,False
0,1,48,1,1722,4,5,4,4,4,2,3,4,4,4,4,2,4,1,0,0.0,1,True,False,False
1,1,65,0,578,2,4,3,4,2,4,4,3,3,3,3,4,3,3,99,101.0,0,False,True,False
0,1,30,0,163,3,5,3,2,1,3,1,1,4,2,4,5,5,1,9,11.0,0,False,False,True
1,1,51,0,395,2,4,5,1,2,4,5,3,3,5,3,1,3,1,0,0.0,0,False,True,False
0,0,23,1,416,5,0,5,2,4,5,4,4,3,5,5,3,2,4,18,4.0,1,False,True,False
1,1,37,1,977,3,4,4,4,3,3,3,3,2,2,3,3,3,3,0,0.0,0,False,True,False
0,1,23,1,3095,5,5,5,5,5,5,3,5,2,5,4,3,3,5,9,0.0,1,True,False,False
0,1,32,1,738,4,4,4,4,4,4,4,4,4,2,4,3,3,4,0,3.0,0,True,False,False
0,1,67,0,719,3,3,3,4,1,3,1,1,2,2,3,1,5,1,24,14.0,0,False,True,False
0,1,65,0,226,1,4,1,1,5,5,4,4,4,1,4,5,4,3,37,20.0,0,True,False,False
1,1,48,1,1943,1,1,1,1,3,5,5,5,5,5,5,4,5,5,0,0.0,1,True,False,False
0,1,60,1,2371,4,4,4,4,2,4,5,4,4,4,4,3,4,3,66,61.0,1,True,False,False
1,1,31,1,551,3,1,1,1,3,3,3,3,3,4,3,4,4,3,53,48.0,0,True,False,False
0,1,22,1,493,4,1,5,5,4,4,4,4,2,4,2,3,4,4,19,6.0,1,False,False,True
0,0,27,1,925,2,2,2,5,5,2,5,5,2,5,5,1,4,5,4,3.0,0,False,True,False
1,1,19,0,405,2,2,2,4,1,2,1,1,3,2,4,4,3,1,0,0.0,0,False,True,False
1,0,26,1,1055,3,3,3,4,4,3,4,4,3,5,4,2,4,4,0,0.0,0,False,True,False
0,1,72,1,305,4,3,3,3,4,4,4,4,2,3,3,1,3,4,0,0.0,0,False,True,False
1,1,34,1,589,5,5,5,5,1,1,5,5,5,5,5,5,5,5,0,11.0,1,True,False,False
1,1,45,1,1587,2,2,2,2,4,4,4,4,4,4,4,4,4,3,0,0.0,1,True,False,False
0,1,51,1,3090,2,4,4,4,3,3,4,2,2,2,2,4,2,1,0,0.0,0,True,False,False
1,0,26,1,804,2,2,2,3,4,2,3,4,1,4,4,1,4,4,7,0.0,0,False,True,False
1,1,12,0,719,3,4,3,3,1,3,1,1,5,2,4,4,4,1,0,0.0,0,False,True,False
1,1,72,1,67,2,5,3,5,2,3,4,3,3,2,3,4,3,3,28,18.0,0,False,False,True
